sample,filtering,PON,bootstrap,calls
T105,filtered,35, 2, 42897
T105,filtered,35, 3, 43728
T105,filtered,35, 4, 43020
T105,filtered,35, 5, 42292
T105,filtered,40, 1, 43552
T105,filtered,40, 2, 43914
T105,filtered,40, 3, 43195
T105,filtered,40, 4, 43623
T105,filtered,40, 5, 42479
T105,filtered,45, 1, 43465
T105,filtered,45, 2, 43312
T105,filtered,45, 3, 42920
T105,filtered,45, 4, 42733
T105,filtered,45, 5, 43273
T105,filtered,50, 1, 42834
T105,filtered,50, 2, 42596
T105,filtered,50, 3, 43114
T105,filtered,50, 4, 42552
T105,filtered,50, 5, 42573
T105,filtered,55, 1, 43114
T105,filtered,55, 2, 43145
T105,filtered,55, 3, 43281
T105,filtered,55, 4, 42951
T105,filtered,55, 5, 43199
T105,filtered,60, 1, 43238
T105,filtered,60, 2, 43203
T105,filtered,60, 3, 43074
T105,filtered,60, 4, 43057
T105,filtered,60, 5, 43235
T105,filtered,65, 1, 43066
T105,filtered,65, 2, 43110
T105,filtered,65, 3, 42936
T105,filtered,65, 4, 43144
T105,filtered,65, 5, 42857
T107,All,05, 1, 101353
T107,All,05, 2, 100923
T107,All,05, 3, 100317
T107,All,05, 4, 101156
T107,All,05, 5, 100586
T107,All,10, 1, 91527
T107,All,10, 2, 91389
T107,All,10, 3, 90458
T107,All,10, 4, 92173
T107,All,10, 5, 92116
T107,All,15, 1, 86339
T107,All,15, 2, 86478
T107,All,15, 3, 87674
T107,All,15, 4, 86774
T107,All,15, 5, 86134
T107,All,20, 1, 82731
T107,All,20, 2, 82847
T107,All,20, 3, 82729
T107,All,20, 4, 83192
T107,All,20, 5, 82952
T107,All,25, 1, 80775
T107,All,25, 2, 79793
T107,All,25, 3, 79176
T107,All,25, 4, 79416
T107,All,25, 5, 82005
T107,All,30, 1, 77860
T107,All,30, 2, 77680
T107,All,30, 3, 77723
T107,All,30, 4, 77789
T107,All,30, 5, 76881
T107,All,35, 1, 75218
T107,All,35, 2, 76190
T107,All,35, 3, 74526
T107,All,35, 4, 75561
T107,All,35, 5, 75866
T107,All,40, 1, 73998
T107,All,40, 2, 74170
T107,All,40, 3, 73815
T107,All,40, 4, 73160
T107,All,40, 5, 73435
T107,All,45, 1, 72030
T107,All,45, 2, 71790
T107,All,45, 3, 72731
T107,All,45, 4, 72541
T107,All,45, 5, 71824
T107,All,50, 1, 70444
T107,All,50, 2, 71538
T107,All,50, 3, 70777
T107,All,50, 4, 71829
T107,All,50, 5, 71559
T107,All,55, 1, 69585
T107,All,55, 2, 70046
T107,All,55, 3, 69560
T107,All,55, 4, 69631
T107,All,55, 5, 69711
T107,All,60, 1, 68779
T107,All,60, 2, 68724
T107,All,60, 3, 68727
T107,All,60, 4, 68688
T107,All,60, 5, 69072
T107,All,65, 1, 68375
T107,All,65, 2, 68370
T107,All,65, 3, 67749
T107,All,65, 4, 68174
T107,All,65, 5, 68174
T107,filtered,05, 1, 23268
T107,filtered,05, 2, 24057
T107,filtered,05, 3, 23329
T107,filtered,05, 4, 22625
T107,filtered,05, 5, 23537
T107,filtered,10, 1, 29475
T107,filtered,10, 2, 30300
T107,filtered,10, 3, 30689
T107,filtered,10, 4, 29963
T107,filtered,10, 5, 29785
T107,filtered,15, 1, 32631
T107,filtered,15, 2, 33077
T107,filtered,15, 3, 32583
T107,filtered,15, 4, 32819
T107,filtered,15, 5, 32697
T107,filtered,20, 1, 32968
T107,filtered,20, 2, 33011
T107,filtered,20, 3, 33847
T107,filtered,20, 4, 33881
T107,filtered,20, 5, 33413
T107,filtered,25, 1, 33938
T107,filtered,25, 2, 33292
T107,filtered,25, 3, 33656
T107,filtered,25, 4, 34246
T107,filtered,25, 5, 33484
T107,filtered,30, 1, 34367
T107,filtered,30, 2, 34276
T107,filtered,30, 3, 33988
T107,filtered,30, 4, 34192
T107,filtered,30, 5, 35043
T107,filtered,35, 1, 34752
T107,filtered,35, 2, 34995
