sample,filtering,PON,bootstrap,calls
T107,filtered,40,2,641
T107,filtered,40,3,618
T107,filtered,40,4,637
T107,filtered,40,5,611
T107,filtered,45,1,637
T107,filtered,45,2,656
T107,filtered,45,3,614
T107,filtered,45,4,633
T107,filtered,45,5,647
T107,filtered,50,1,631
T107,filtered,50,2,621
T107,filtered,50,3,650
T107,filtered,50,4,631
T107,filtered,50,5,629
T107,filtered,55,1,658
T107,filtered,55,2,674
T107,filtered,55,3,664
T107,filtered,55,4,651
T107,filtered,55,5,647
T107,filtered,60,1,683
T107,filtered,60,2,677
T107,filtered,60,3,669
T107,filtered,60,4,676
T107,filtered,60,5,665
T107,filtered,65,1,693
T107,filtered,65,2,686
T107,filtered,65,3,696
T107,filtered,65,4,688
T107,filtered,65,5,679
T109,All,5,1,2815
T109,All,5,2,2815
T109,All,5,3,2815
T109,All,5,4,2815
T109,All,5,5,2815
T109,All,10,1,2815
T109,All,10,2,2815
T109,All,10,3,2815
T109,All,10,4,2815
T109,All,10,5,2815
T109,All,15,1,2815
T109,All,15,2,2815
T109,All,15,3,2815
T109,All,15,4,2815
T109,All,15,5,2815
T109,All,20,1,2815
T109,All,20,2,2815
T109,All,20,3,2815
T109,All,20,4,2815
T109,All,20,5,2815
T109,All,25,1,2815
T109,All,25,2,2815
T109,All,25,3,2815
T109,All,25,4,2815
T109,All,25,5,2815
T109,All,30,1,2815
T109,All,30,2,2815
T109,All,30,3,2815
T109,All,30,4,2815
T109,All,30,5,2815
T109,All,35,1,2815
T109,All,35,2,2815
T109,All,35,3,2815
T109,All,35,4,2815
T109,All,35,5,2815
T109,All,40,1,2815
T109,All,40,2,2815
T109,All,40,3,2815
T109,All,40,4,2815
T109,All,40,5,2815
T109,All,45,1,2815
T109,All,45,2,2815
T109,All,45,3,2815
T109,All,45,4,2815
T109,All,45,5,2815
T109,All,50,1,2815
T109,All,50,2,2815
T109,All,50,3,2815
T109,All,50,4,2815
T109,All,50,5,2815
T109,All,55,1,2815
T109,All,55,2,2815
T109,All,55,3,2815
T109,All,55,4,2815
T109,All,55,5,2815
T109,All,60,1,2815
T109,All,60,2,2815
T109,All,60,3,2815
T109,All,60,4,2815
T109,All,60,5,2815
T109,All,65,1,2815
T109,All,65,2,2815
T109,All,65,3,2815
T109,All,65,4,2815
T109,All,65,5,2815
T109,filtered,5,1,120
T109,filtered,5,2,123
T109,filtered,5,3,123
T109,filtered,5,4,158
T109,filtered,5,5,129
T109,filtered,10,1,176
T109,filtered,10,2,234
T109,filtered,10,3,229
T109,filtered,10,4,232
T109,filtered,10,5,187
T109,filtered,15,1,273
T109,filtered,15,2,304
T109,filtered,15,3,307
T109,filtered,15,4,287
T109,filtered,15,5,267
T109,filtered,20,1,297
T109,filtered,20,2,290
T109,filtered,20,3,340
T109,filtered,20,4,349
T109,filtered,20,5,316
T109,filtered,25,1,330
T109,filtered,25,2,353
T109,filtered,25,3,336
T109,filtered,25,4,352
T109,filtered,25,5,307
T109,filtered,30,1,384
T109,filtered,30,2,364
T109,filtered,30,3,371
T109,filtered,30,4,375
T109,filtered,30,5,428
T109,filtered,35,1,405
T109,filtered,35,2,405
T109,filtered,35,3,450
T109,filtered,35,4,426
T109,filtered,35,5,410
T109,filtered,40,1,447
T109,filtered,40,2,460
T109,filtered,40,3,448
T109,filtered,40,4,454
T109,filtered,40,5,406
T109,filtered,45,1,461
T109,filtered,45,2,468
T109,filtered,45,3,439
T109,filtered,45,4,443
T109,filtered,45,5,464
T109,filtered,50,1,456
T109,filtered,50,2,451
T109,filtered,50,3,461
T109,filtered,50,4,447
T109,filtered,50,5,439
T109,filtered,55,1,471
T109,filtered,55,2,478
T109,filtered,55,3,484
T109,filtered,55,4,475
T109,filtered,55,5,471
T109,filtered,60,1,495
T109,filtered,60,2,498
T109,filtered,60,3,499
T109,filtered,60,4,491
T109,filtered,60,5,489
T109,filtered,65,1,494
T109,filtered,65,2,493
T109,filtered,65,3,508
T109,filtered,65,4,500
T109,filtered,65,5,492
T110,All,5,1,2362
T110,All,5,2,2362
T110,All,5,3,2362
T110,All,5,4,2362
T110,All,5,5,2362
T110,All,10,1,2362
T110,All,10,2,2362
T110,All,10,3,2362
T110,All,10,4,2362
T110,All,10,5,2362
T110,All,15,1,2362
